temp,hum,percp,wspeed,pm10
1.4,92.0,0.7,8.8,16.0
1.2,94.0,0.7,8.7,17.0
1.2,95.0,0.5,8.4,13.0
1.1,96.0,0.4,9.4,9.0
1.1,97.0,0.4,9.2,8.0
1.0,97.0,0.4,7.9,15.0
1.2,98.0,0.4,7.1,22.0
1.2,98.0,0.5,7.4,24.0
1.1,98.0,0.4,8.2,22.0
1.1,98.0,0.3,8.8,22.0
1.1,98.0,0.3,9.0,20.0
1.2,98.0,0.2,8.5,15.0
1.7,96.0,0.1,7.4,18.0
1.9,96.0,0.1,6.6,17.0
2.9,91.0,0.1,5.9,18.0
4.4,83.0,0.0,10.2,26.608918503331623
5.0,80.0,0.0,11.5,13.0
5.3,78.0,0.0,9.8,13.0
5.2,79.0,0.0,9.6,13.0
5.6,77.0,0.0,7.6,14.0
5.3,79.0,0.0,6.5,15.0
4.7,84.0,0.0,5.1,17.0
4.1,90.0,0.0,4.3,20.0
3.5,90.0,0.0,4.0,23.0
3.4,90.0,0.0,3.3,28.0
3.5,87.0,0.0,3.7,36.0
3.3,88.0,0.0,3.3,37.0
2.6,91.0,0.0,3.2,37.0
2.6,92.0,0.0,3.0,34.0
2.2,93.0,0.0,3.3,33.0
1.9,95.0,0.0,2.7,32.0
1.7,96.0,0.0,2.9,35.0
1.4,97.0,0.0,3.5,35.0
0.8,98.0,0.0,2.9,34.0
1.0,98.0,0.0,3.4,35.0
1.7,98.0,0.2,4.9,37.0
2.8,94.0,0.2,5.9,35.0
3.9,92.0,0.2,5.7,33.0
4.9,90.0,0.1,7.1,32.0
6.1,80.0,0.1,7.9,29.0
7.1,76.0,0.1,8.8,27.0
7.6,72.0,0.1,9.7,27.0
7.7,72.0,0.0,9.7,25.0
7.7,71.0,0.0,9.0,24.0
7.0,75.0,0.0,7.7,24.0
5.7,83.0,0.0,6.0,25.0
4.1,90.0,0.0,4.9,27.0
4.5,88.0,0.0,4.0,35.0
4.1,91.0,0.0,3.7,43.0
3.5,93.0,0.0,3.3,48.0
2.9,95.0,0.0,1.9,44.0
2.3,96.0,0.0,3.4,43.0
1.8,97.0,0.0,3.1,42.0
1.6,98.0,0.0,2.7,37.0
0.8,99.0,0.0,1.4,42.0
-0.2,99.0,0.0,1.1,46.0
-0.1,99.0,0.0,0.8,40.0
-0.4,99.0,0.0,1.3,34.0
-0.4,99.0,0.0,1.8,31.0
1.3,98.0,0.0,2.2,28.0
3.1,93.0,0.0,2.2,27.0
5.0,85.0,0.0,1.8,28.0
7.2,74.0,0.0,1.8,33.0
9.0,60.0,0.0,1.1,34.0
10.2,52.0,0.0,2.7,44.0
11.2,49.0,0.0,4.4,47.0
11.4,46.0,0.0,5.3,42.0
11.1,46.0,0.0,5.6,37.0
10.2,53.0,0.0,5.7,35.0
7.7,71.0,0.0,5.4,27.0
6.2,68.0,0.0,4.7,28.0
6.3,65.0,0.0,2.9,56.0
5.9,67.0,0.0,3.0,59.0
5.2,70.0,0.0,2.3,46.0
4.5,73.0,0.0,1.6,48.0
3.9,75.0,0.0,1.0,47.0
3.5,76.0,0.0,2.2,43.0
3.4,76.0,0.0,5.6,46.0
2.6,79.0,0.0,5.2,46.0
1.3,86.0,0.0,5.4,43.0
1.0,89.0,0.0,5.4,43.0
0.8,92.0,0.0,4.7,39.0
0.6,94.0,0.0,4.7,36.0
1.4,93.0,0.0,4.7,34.0
3.4,83.0,0.0,6.5,36.0
4.1,78.0,0.0,9.9,40.0
4.9,73.0,0.0,7.0,42.0
5.7,69.0,0.0,7.0,29.0
6.0,67.0,0.0,5.4,23.0
6.5,66.0,0.0,4.1,22.0
6.6,65.0,0.0,3.1,24.0
6.6,65.0,0.0,3.3,22.0
6.3,68.0,0.0,6.3,21.0
4.9,81.0,0.0,7.0,23.0
4.8,72.0,0.0,5.4,31.0
3.6,80.0,0.0,4.9,44.0
3.6,78.0,0.0,4.3,49.0
3.2,80.0,0.0,3.8,47.0
2.9,82.0,0.0,4.2,49.0
2.5,83.0,0.0,4.0,53.0
2.4,83.0,0.1,3.1,53.0
2.1,85.0,0.1,2.0,50.0
2.1,86.0,0.0,1.0,43.0
2.0,87.0,0.0,1.8,44.0
1.7,89.0,0.0,1.6,42.0
1.5,90.0,0.0,1.9,45.0
1.6,89.0,0.1,1.6,45.0
2.5,86.0,0.0,1.5,48.0
4.6,78.0,0.0,0.4,56.0
5.7,77.0,0.0,1.8,58.0
7.2,76.0,0.1,3.2,62.0
8.4,75.0,0.1,6.7,44.0
9.2,76.0,0.2,10.2,44.0
8.9,78.0,0.2,10.9,44.0
7.9,82.0,0.3,11.8,45.0
7.8,77.0,0.1,12.8,43.0
7.2,81.0,0.1,8.8,32.0
6.1,87.0,0.1,6.7,34.0
4.8,94.0,0.0,5.2,34.0
3.8,97.0,0.0,5.2,36.0
